#Vocabularies to learn

fetch|holen
bankruptcy|Pleite
inhibitated|gehemmt
aptitude|Eignung
albeit|obgleich
asterisk|Sternchen
purpose|Zweck
endeavour|Unterfangen
politely|höflich 
yet|bis jetzt
capable|fähig
severity|Schwere
wrap up|einpacken
Crucial|Entscheidend
Among|zwischen
Accountability|Verantwortlichkeit
compliance|Beachtung
exposure|Aufdeckung
refuse|verweigern
aforementioned|vorgenannten
Inferior|untergeordnet
particular|besondere
subvert|unterwandern
however|jedoch
concerns|Sorgen
antecedent|vorausgegangen
